Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.mi2log

  [3.1s] 22632 bytes, 141 packets decoded
  [5.1s] 22696 bytes, 142 packets decoded
  [5.1s] 22760 bytes, 142 packets decoded
  [5.1s] 22824 bytes, 142 packets decoded
  [5.1s] 22888 bytes, 142 packets decoded
  [5.1s] 22952 bytes, 143 packets decoded
  [5.1s] 23016 bytes, 144 packets decoded
  [5.1s] 23080 bytes, 144 packets decoded
  [5.1s] 23144 bytes, 145 packets decoded
  [5.1s] 23208 bytes, 145 packets decoded
  [5.1s] 23272 bytes, 145 packets decoded
  [5.1s] 23336 bytes, 145 packets decoded
  [5.1s] 23400 bytes, 145 packets decoded
  [5.1s] 23464 bytes, 146 packets decoded
  [5.1s] 23528 bytes, 146 packets decoded
  [5.1s] 23592 bytes, 147 packets decoded
  [5.1s] 23656 bytes, 148 packets decoded
  [5.1s] 23720 bytes, 149 packets decoded
  [5.1s] 23784 bytes, 149 packets decoded
  [5.1s] 23848 bytes, 150 packets decoded
  [5.1s] 23912 bytes, 150 packets decoded
  [5.1s] 23976 bytes, 151 packets decoded
  [5.1s] 24040 bytes, 152 packets decoded
  [5.1s] 24104 bytes, 152 packets decoded
  [5.1s] 24168 bytes, 152 packets decoded
  [5.1s] 24232 bytes, 153 packets decoded
  [5.1s] 24296 bytes, 153 packets decoded
  [5.1s] 24360 bytes, 154 packets decoded
  [5.1s] 24424 bytes, 154 packets decoded
  [5.1s] 24488 bytes, 155 packets decoded
  [5.1s] 24552 bytes, 156 packets decoded
  [5.1s] 24616 bytes, 156 packets decoded
  [5.1s] 24680 bytes, 156 packets decoded
  [5.1s] 24744 bytes, 156 packets decoded
  [5.1s] 24808 bytes, 157 packets decoded
  [5.1s] 24872 bytes, 158 packets decoded
  [5.1s] 24936 bytes, 159 packets decoded
  [5.1s] 25000 bytes, 160 packets decoded
  [5.1s] 25064 bytes, 161 packets decoded
  [5.1s] 25128 bytes, 161 packets decoded
  [5.1s] 25192 bytes, 162 packets decoded
  [5.1s] 25256 bytes, 162 packets decoded
  [5.1s] 25320 bytes, 162 packets decoded
  [5.1s] 25384 bytes, 163 packets decoded
