Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162509/scenario_1_Browsing.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162509/scenario_1_Browsing.mi2log

  [4.5s] 29545 bytes, 156 packets decoded
  [4.5s] 29609 bytes, 157 packets decoded
  [4.5s] 29673 bytes, 157 packets decoded
  [4.5s] 29737 bytes, 158 packets decoded
  [4.5s] 29801 bytes, 158 packets decoded
  [4.5s] 29865 bytes, 159 packets decoded
  [4.5s] 29929 bytes, 160 packets decoded
  [4.5s] 29993 bytes, 161 packets decoded
  [4.5s] 30057 bytes, 162 packets decoded
  [4.5s] 30121 bytes, 163 packets decoded
  [4.5s] 30185 bytes, 163 packets decoded
  [4.5s] 30249 bytes, 164 packets decoded
  [4.5s] 30313 bytes, 165 packets decoded
  [4.5s] 30377 bytes, 166 packets decoded
  [4.5s] 30441 bytes, 167 packets decoded
  [4.5s] 30505 bytes, 167 packets decoded
  [4.5s] 30569 bytes, 167 packets decoded
  [4.5s] 30633 bytes, 167 packets decoded
  [4.5s] 30697 bytes, 167 packets decoded
  [4.5s] 30761 bytes, 168 packets decoded
  [4.5s] 30825 bytes, 168 packets decoded
  [4.5s] 30889 bytes, 169 packets decoded
  [4.5s] 30953 bytes, 169 packets decoded
  [4.5s] 31017 bytes, 170 packets decoded
  [4.5s] 31081 bytes, 171 packets decoded
  [4.5s] 31145 bytes, 172 packets decoded
  [4.5s] 31209 bytes, 173 packets decoded
  [4.5s] 31273 bytes, 173 packets decoded
  [4.5s] 31337 bytes, 174 packets decoded
  [4.5s] 31401 bytes, 174 packets decoded
  [4.5s] 31465 bytes, 175 packets decoded
  [4.5s] 31529 bytes, 175 packets decoded
  [4.5s] 31593 bytes, 175 packets decoded
  [4.5s] 31657 bytes, 175 packets decoded
  [4.5s] 31721 bytes, 175 packets decoded
  [4.5s] 31785 bytes, 176 packets decoded
  [4.5s] 31849 bytes, 176 packets decoded
  [4.5s] 31913 bytes, 177 packets decoded
  [4.5s] 31977 bytes, 177 packets decoded
  [4.5s] 32041 bytes, 177 packets decoded
  [4.5s] 32105 bytes, 178 packets decoded
  [4.5s] 32169 bytes, 178 packets decoded
  [4.5s] 32233 bytes, 178 packets decoded
  [4.5s] 32297 bytes, 178 packets decoded
  [4.5s] 32361 bytes, 178 packets decoded
  [4.5s] 32425 bytes, 178 packets decoded
  [4.5s] 32489 bytes, 179 packets decoded
  [4.5s] 32553 bytes, 179 packets decoded
  [4.5s] 32617 bytes, 179 packets decoded
  [4.5s] 32681 bytes, 180 packets decoded
  [4.5s] 32745 bytes, 180 packets decoded
  [4.5s] 32809 bytes, 180 packets decoded
  [4.5s] 32873 bytes, 181 packets decoded
  [4.5s] 32937 bytes, 181 packets decoded
  [4.5s] 33001 bytes, 181 packets decoded
