PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=145 ttl=116 time=32.1 ms
1408 bytes from 8.8.8.8: icmp_seq=146 ttl=116 time=39.1 ms
1408 bytes from 8.8.8.8: icmp_seq=147 ttl=116 time=34.1 ms
1408 bytes from 8.8.8.8: icmp_seq=148 ttl=116 time=35.5 ms
1408 bytes from 8.8.8.8: icmp_seq=149 ttl=116 time=28.8 ms
1408 bytes from 8.8.8.8: icmp_seq=150 ttl=116 time=34.3 ms
1408 bytes from 8.8.8.8: icmp_seq=151 ttl=116 time=31.6 ms
1408 bytes from 8.8.8.8: icmp_seq=152 ttl=116 time=26.5 ms
1408 bytes from 8.8.8.8: icmp_seq=153 ttl=116 time=41.1 ms
1408 bytes from 8.8.8.8: icmp_seq=154 ttl=116 time=25.8 ms
1408 bytes from 8.8.8.8: icmp_seq=155 ttl=116 time=25.0 ms
1408 bytes from 8.8.8.8: icmp_seq=156 ttl=116 time=32.1 ms
1408 bytes from 8.8.8.8: icmp_seq=157 ttl=116 time=30.0 ms
1408 bytes from 8.8.8.8: icmp_seq=158 ttl=116 time=26.1 ms
1408 bytes from 8.8.8.8: icmp_seq=159 ttl=116 time=26.0 ms
1408 bytes from 8.8.8.8: icmp_seq=160 ttl=116 time=25.9 ms
1408 bytes from 8.8.8.8: icmp_seq=161 ttl=116 time=27.0 ms
1408 bytes from 8.8.8.8: icmp_seq=162 ttl=116 time=26.2 ms
1408 bytes from 8.8.8.8: icmp_seq=163 ttl=116 time=28.2 ms
1408 bytes from 8.8.8.8: icmp_seq=164 ttl=116 time=30.1 ms
1408 bytes from 8.8.8.8: icmp_seq=165 ttl=116 time=32.1 ms
1408 bytes from 8.8.8.8: icmp_seq=166 ttl=116 time=36.8 ms
1408 bytes from 8.8.8.8: icmp_seq=167 ttl=116 time=36.1 ms
1408 bytes from 8.8.8.8: icmp_seq=168 ttl=116 time=25.1 ms
1408 bytes from 8.8.8.8: icmp_seq=169 ttl=116 time=30.0 ms
1408 bytes from 8.8.8.8: icmp_seq=170 ttl=116 time=28.8 ms
1408 bytes from 8.8.8.8: icmp_seq=171 ttl=116 time=41.3 ms
1408 bytes from 8.8.8.8: icmp_seq=172 ttl=116 time=39.2 ms
1408 bytes from 8.8.8.8: icmp_seq=173 ttl=116 time=25.9 ms
1408 bytes from 8.8.8.8: icmp_seq=174 ttl=116 time=35.1 ms
1408 bytes from 8.8.8.8: icmp_seq=175 ttl=116 time=40.0 ms
1408 bytes from 8.8.8.8: icmp_seq=176 ttl=116 time=31.0 ms
1408 bytes from 8.8.8.8: icmp_seq=177 ttl=116 time=28.3 ms
1408 bytes from 8.8.8.8: icmp_seq=178 ttl=116 time=27.1 ms
1408 bytes from 8.8.8.8: icmp_seq=179 ttl=116 time=34.1 ms
1408 bytes from 8.8.8.8: icmp_seq=180 ttl=116 time=25.1 ms
