Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_163551/scenario_1_Browsing.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_163551/scenario_1_Browsing.mi2log

  [5.3s] 27479 bytes, 164 packets decoded
  [5.3s] 27543 bytes, 165 packets decoded
  [5.3s] 27607 bytes, 165 packets decoded
  [5.3s] 27671 bytes, 166 packets decoded
  [5.3s] 27735 bytes, 166 packets decoded
  [5.3s] 27799 bytes, 166 packets decoded
  [5.3s] 27863 bytes, 166 packets decoded
  [5.3s] 27927 bytes, 166 packets decoded
  [5.3s] 27991 bytes, 167 packets decoded
  [5.3s] 28055 bytes, 167 packets decoded
  [5.3s] 28119 bytes, 167 packets decoded
  [5.3s] 28183 bytes, 167 packets decoded
  [5.3s] 28247 bytes, 167 packets decoded
  [5.3s] 28311 bytes, 168 packets decoded
  [5.3s] 28375 bytes, 169 packets decoded
  [5.3s] 28439 bytes, 170 packets decoded
  [5.3s] 28503 bytes, 170 packets decoded
  [5.3s] 28567 bytes, 171 packets decoded
  [5.3s] 28631 bytes, 171 packets decoded
  [5.3s] 28695 bytes, 172 packets decoded
  [5.3s] 28759 bytes, 172 packets decoded
  [5.3s] 28823 bytes, 172 packets decoded
  [5.3s] 28887 bytes, 173 packets decoded
  [5.3s] 28951 bytes, 173 packets decoded
  [5.3s] 29015 bytes, 173 packets decoded
  [5.3s] 29079 bytes, 173 packets decoded
  [5.3s] 29143 bytes, 173 packets decoded
  [5.3s] 29207 bytes, 174 packets decoded
  [5.3s] 29271 bytes, 174 packets decoded
  [5.3s] 29335 bytes, 175 packets decoded
  [5.3s] 29399 bytes, 175 packets decoded
  [5.3s] 29463 bytes, 175 packets decoded
  [5.3s] 29527 bytes, 175 packets decoded
  [5.3s] 29591 bytes, 175 packets decoded
  [5.3s] 29655 bytes, 175 packets decoded
  [5.3s] 29719 bytes, 175 packets decoded
  [5.3s] 29783 bytes, 175 packets decoded
  [5.3s] 29847 bytes, 176 packets decoded
  [5.3s] 29911 bytes, 176 packets decoded
  [5.3s] 29975 bytes, 177 packets decoded
  [5.3s] 30039 bytes, 177 packets decoded
  [5.3s] 30103 bytes, 178 packets decoded
  [5.3s] 30167 bytes, 178 packets decoded
  [5.3s] 30231 bytes, 178 packets decoded
  [5.3s] 30295 bytes, 178 packets decoded
  [5.3s] 30359 bytes, 178 packets decoded
  [5.3s] 30423 bytes, 179 packets decoded
  [5.3s] 30487 bytes, 180 packets decoded
  [5.3s] 30551 bytes, 180 packets decoded
  [5.3s] 30615 bytes, 180 packets decoded
  [5.3s] 30679 bytes, 180 packets decoded
  [5.3s] 30743 bytes, 180 packets decoded
  [5.3s] 30807 bytes, 181 packets decoded
  [5.3s] 30871 bytes, 181 packets decoded
  [5.3s] 30935 bytes, 181 packets decoded
  [5.3s] 30999 bytes, 181 packets decoded
  [5.3s] 31063 bytes, 181 packets decoded
  [5.3s] 31127 bytes, 182 packets decoded
